date,year,month,region,industry,salary_uah
2021-04-01,2021,4,Україна,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,24523.0
2021-04-01,2021,4,Україна,Сільське господарство та надання пов'язаних із ними послуг,10379.0
2021-04-01,2021,4,Україна,Виробництво коксу та продуктів нафтоперероблення,17606.0
2021-04-01,2021,4,Україна,"Сільське господарство, лісове господарство та рибне господарство",10628.0
2021-04-01,2021,4,Україна,Виробництво хімічних речовин і хімічної продукції,12881.0
2021-04-01,2021,4,Україна,"Функціювання бібліотек, архівів, музеїв та інших закладів культури",9360.0
2021-04-01,2021,4,Україна,Водний транспорт,13429.0
2021-04-01,2021,4,Україна,"Виробництво комп'ютерів, електронної та оптичної продукції",14156.0
2021-04-01,2021,4,Україна,Поштова та кур'єрська діяльність,7762.0
2021-04-01,2021,4,Україна,Наукові дослідження та розробки,13909.0
2021-04-01,2021,4,Україна,Охорона здоров'я,11630.0
2021-04-01,2021,4,Україна,"Виробництво машин і устатковання, н.в.і.у.",12081.0
2021-04-01,2021,4,Україна,Тимчасове розміщування й організація харчування,7320.0
2021-04-01,2021,4,Україна,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",12379.0
2021-04-01,2021,4,Україна,Переробна промисловість,12504.0
2021-04-01,2021,4,Україна,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",7873.0
2021-04-01,2021,4,Україна,Добувна промисловість і розроблення кар'єрів,18540.0
2021-04-01,2021,4,Україна,Фінансова та страхова діяльність,23562.0
2021-04-01,2021,4,Україна,"Виробництво харчових продуктів, напоїв і тютюнових виробів",11506.0
2021-04-01,2021,4,Україна,"Постачання електроенергії, газу, пари та кондиційованого повітря",18710.0
2021-04-01,2021,4,Україна,Промисловість,14008.0
2021-04-01,2021,4,Україна,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",11743.0
2021-04-01,2021,4,Україна,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",15443.0
2021-04-01,2021,4,Україна,Будівництво,10095.0
2021-04-01,2021,4,Україна,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,12672.0
2021-04-01,2021,4,Україна,"Виробництво меблів, іншої продукції; ремонт і монтаж машин і устатковання",12324.0
2021-04-01,2021,4,Україна,"Водопостачання; каналізація, поводження з відходами",10415.0
2021-04-01,2021,4,Україна,"Транспорт, складське господарство, поштова та кур'єрська діяльність",12419.0
2021-04-01,2021,4,Україна,Інформація та телекомунікації,24375.0
2021-04-01,2021,4,Україна,"Виготовлення виробів з деревини, паперу та  поліграфічна діяльність",10727.0
2021-04-01,2021,4,Дніпропетровська,Усього,12968.0
2021-04-01,2021,4,Запорізька,Усього,12971.0
2021-04-01,2021,4,Донецька,Усього,14202.0
2021-04-01,2021,4,Україна,Діяльність у сфері адміністративного та допоміжного обслуговування,10593.0
2021-04-01,2021,4,Україна,Освіта,10793.0
2021-04-01,2021,4,Київська,Усього,13189.0
2021-04-01,2021,4,Україна,Операції з нерухомим майном,10320.0
2021-04-01,2021,4,Україна,Усього,13013.0
2021-04-01,2021,4,Україна,"Професійна, наукова та технічна діяльність",18711.0
2021-04-01,2021,4,Україна,Надання інших видів послуг,12269.0
2021-04-01,2021,4,Україна,"Мистецтво, спорт, розваги та відпочинок",11284.0
2021-04-01,2021,4,Україна,Охорона здоров'я та надання соціальної допомоги,11374.0
2021-04-01,2021,4,Івано-Франківська,Усього,11184.0
2021-04-01,2021,4,Україна,Державне управління й оборона; обов'язкове соціальне страхування,16197.0
2021-04-01,2021,4,Львівська,Усього,11548.0
2021-04-01,2021,4,Київ,Усього,19145.0
2021-04-01,2021,4,Одеська,Усього,11434.0
2021-04-01,2021,4,Харківська,Усього,11063.0
2021-04-01,2021,4,Полтавська,Усього,11971.0
2021-05-01,2021,5,Україна,Складське господарство та допоміжна діяльність у сфері транспорту,13535.0
2021-05-01,2021,5,Україна,Авіаційний транспорт,24791.0
2021-05-01,2021,5,Україна,Наземний і трубопровідний транспорт,11973.0
2021-05-01,2021,5,Україна,"Діяльність у сфері творчості, мистецтва та розваг",10385.0
2021-05-01,2021,5,Україна,Добування кам'яного та бурого вугілля,17597.0
2021-05-01,2021,5,Україна,Виробництво електричного устатковання,11411.0
2021-05-01,2021,5,Україна,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,24403.0
2021-05-01,2021,5,Україна,Сільське господарство та надання пов'язаних із ними послуг,10652.0
2021-05-01,2021,5,Україна,Виробництво коксу та продуктів нафтоперероблення,17732.0
2021-05-01,2021,5,Україна,"Сільське господарство, лісове господарство та рибне господарство",10881.0
2021-05-01,2021,5,Україна,Виробництво хімічних речовин і хімічної продукції,13149.0
2021-05-01,2021,5,Україна,"Функціювання бібліотек, архівів, музеїв та інших закладів культури",9549.0
2021-05-01,2021,5,Україна,Водний транспорт,13736.0
2021-05-01,2021,5,Україна,"Виробництво комп'ютерів, електронної та оптичної продукції",14086.0
2021-05-01,2021,5,Україна,Поштова та кур'єрська діяльність,7779.0
2021-05-01,2021,5,Україна,Наукові дослідження та розробки,13968.0
2021-05-01,2021,5,Україна,Охорона здоров'я,11651.0
2021-05-01,2021,5,Україна,"Виробництво машин і устатковання, н.в.і.у.",12145.0
2021-05-01,2021,5,Україна,Тимчасове розміщування й організація харчування,7638.0
2021-05-01,2021,5,Україна,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",12474.0
2021-05-01,2021,5,Україна,Переробна промисловість,12618.0
2021-05-01,2021,5,Україна,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",7920.0
2021-05-01,2021,5,Україна,Добувна промисловість і розроблення кар'єрів,18585.0
2021-05-01,2021,5,Україна,Фінансова та страхова діяльність,23245.0
2021-05-01,2021,5,Україна,"Виробництво харчових продуктів, напоїв і тютюнових виробів",11670.0
2021-05-01,2021,5,Україна,"Постачання електроенергії, газу, пари та кондиційованого повітря",18588.0
2021-05-01,2021,5,Україна,Промисловість,14065.0
2021-05-01,2021,5,Україна,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",11907.0
2021-05-01,2021,5,Україна,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",15542.0
2021-05-01,2021,5,Україна,Будівництво,10266.0
2021-05-01,2021,5,Україна,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,12771.0
2021-05-01,2021,5,Україна,"Виробництво меблів, іншої продукції; ремонт і монтаж машин і устатковання",12389.0
2021-05-01,2021,5,Україна,"Водопостачання; каналізація, поводження з відходами",10457.0
2021-05-01,2021,5,Україна,"Транспорт, складське господарство, поштова та кур'єрська діяльність",12567.0
2021-05-01,2021,5,Україна,Інформація та телекомунікації,24550.0
2021-05-01,2021,5,Україна,"Виготовлення виробів з деревини, паперу та  поліграфічна діяльність",10819.0
2021-05-01,2021,5,Дніпропетровська,Усього,13066.0
2021-05-01,2021,5,Запорізька,Усього,13072.0
2021-05-01,2021,5,Донецька,Усього,14253.0
2021-05-01,2021,5,Україна,Діяльність у сфері адміністративного та допоміжного обслуговування,10619.0
2021-05-01,2021,5,Україна,Освіта,10951.0
2021-05-01,2021,5,Київська,Усього,13322.0
2021-05-01,2021,5,Україна,Операції з нерухомим майном,10483.0
2021-05-01,2021,5,Україна,Усього,13110.0
2021-05-01,2021,5,Україна,"Професійна, наукова та технічна діяльність",18518.0
2021-05-01,2021,5,Україна,Надання інших видів послуг,12285.0
2021-05-01,2021,5,Україна,"Мистецтво, спорт, розваги та відпочинок",11440.0
2021-05-01,2021,5,Україна,Охорона здоров'я та надання соціальної допомоги,11404.0
2021-05-01,2021,5,Івано-Франківська,Усього,11283.0
2021-05-01,2021,5,Україна,Державне управління й оборона; обов'язкове соціальне страхування,16542.0
2021-05-01,2021,5,Львівська,Усього,11652.0
2021-05-01,2021,5,Київ,Усього,19174.0
2021-05-01,2021,5,Одеська,Усього,11547.0
2021-05-01,2021,5,Харківська,Усього,11186.0
2021-05-01,2021,5,Полтавська,Усього,12093.0
2021-06-01,2021,6,Україна,Складське господарство та допоміжна діяльність у сфері транспорту,13581.0
2021-06-01,2021,6,Україна,Авіаційний транспорт,25541.0
2021-06-01,2021,6,Україна,Наземний і трубопровідний транспорт,12004.0
2021-06-01,2021,6,Україна,"Діяльність у сфері творчості, мистецтва та розваг",10698.0
2021-06-01,2021,6,Україна,Добування кам'яного та бурого вугілля,17554.0
2021-06-01,2021,6,Україна,Виробництво електричного устатковання,11590.0
2021-06-01,2021,6,Україна,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,24214.0
2021-06-01,2021,6,Україна,Сільське господарство та надання пов'язаних із ними послуг,10761.0
2021-06-01,2021,6,Україна,Виробництво коксу та продуктів нафтоперероблення,17890.0
2021-06-01,2021,6,Україна,"Сільське господарство, лісове господарство та рибне господарство",11060.0
2021-06-01,2021,6,Україна,Виробництво хімічних речовин і хімічної продукції,13314.0
2021-06-01,2021,6,Україна,"Функціювання бібліотек, архівів, музеїв та інших закладів культури",9808.0
2021-06-01,2021,6,Україна,Водний транспорт,13914.0
2021-06-01,2021,6,Україна,"Виробництво комп'ютерів, електронної та оптичної продукції",14202.0
2021-06-01,2021,6,Україна,Поштова та кур'єрська діяльність,7927.0
2021-06-01,2021,6,Україна,Наукові дослідження та розробки,14181.0
2021-06-01,2021,6,Україна,Охорона здоров'я,11761.0
2021-06-01,2021,6,Україна,"Виробництво машин і устатковання, н.в.і.у.",12466.0
2021-06-01,2021,6,Україна,Тимчасове розміщування й організація харчування,7859.0
2021-06-01,2021,6,Україна,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",12675.0
2021-06-01,2021,6,Україна,Переробна промисловість,12761.0
2021-06-01,2021,6,Україна,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",8093.0
2021-06-01,2021,6,Україна,Добувна промисловість і розроблення кар'єрів,18614.0
2021-06-01,2021,6,Україна,Фінансова та страхова діяльність,23154.0
2021-06-01,2021,6,Україна,"Виробництво харчових продуктів, напоїв і тютюнових виробів",11786.0
2021-06-01,2021,6,Україна,"Постачання електроенергії, газу, пари та кондиційованого повітря",18624.0
2021-06-01,2021,6,Україна,Промисловість,14172.0
2021-06-01,2021,6,Україна,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",12055.0
2021-06-01,2021,6,Україна,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",15604.0
2021-06-01,2021,6,Україна,Будівництво,10445.0
2021-06-01,2021,6,Україна,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,12865.0
2021-06-01,2021,6,Україна,"Виробництво меблів, іншої продукції; ремонт і монтаж машин і устатковання",12496.0
2021-06-01,2021,6,Україна,"Водопостачання; каналізація, поводження з відходами",10553.0
2021-06-01,2021,6,Україна,"Транспорт, складське господарство, поштова та кур'єрська діяльність",12636.0
2021-06-01,2021,6,Україна,Інформація та телекомунікації,24821.0
2021-06-01,2021,6,Україна,"Виготовлення виробів з деревини, паперу та  поліграфічна діяльність",10980.0
2021-06-01,2021,6,Дніпропетровська,Усього,13192.0
2021-06-01,2021,6,Запорізька,Усього,13209.0
2021-06-01,2021,6,Донецька,Усього,14374.0
2021-06-01,2021,6,Україна,Діяльність у сфері адміністративного та допоміжного обслуговування,10689.0
2021-06-01,2021,6,Україна,Освіта,11483.0
2021-06-01,2021,6,Київська,Усього,13550.0
2021-06-01,2021,6,Україна,Операції з нерухомим майном,10603.0
2021-06-01,2021,6,Україна,Усього,13310.0
2021-06-01,2021,6,Україна,"Професійна, наукова та технічна діяльність",18606.0
2021-06-01,2021,6,Україна,Надання інших видів послуг,12581.0
2021-06-01,2021,6,Україна,"Мистецтво, спорт, розваги та відпочинок",11743.0
2021-06-01,2021,6,Україна,Охорона здоров'я та надання соціальної допомоги,11517.0
2021-06-01,2021,6,Івано-Франківська,Усього,11551.0
2021-06-01,2021,6,Україна,Державне управління й оборона; обов'язкове соціальне страхування,17095.0
2021-06-01,2021,6,Львівська,Усього,11862.0
2021-06-01,2021,6,Київ,Усього,19387.0
2021-06-01,2021,6,Одеська,Усього,11764.0
2021-06-01,2021,6,Харківська,Усього,11371.0
2021-06-01,2021,6,Полтавська,Усього,12259.0
2021-07-01,2021,7,Україна,Складське господарство та допоміжна діяльність у сфері транспорту,14017.0
2021-07-01,2021,7,Україна,Авіаційний транспорт,26177.0
2021-07-01,2021,7,Україна,Наземний і трубопровідний транспорт,12382.0
2021-07-01,2021,7,Україна,"Діяльність у сфері творчості, мистецтва та розваг",10897.0
2021-07-01,2021,7,Україна,Добування кам'яного та бурого вугілля,17632.0
2021-07-01,2021,7,Україна,Виробництво електричного устатковання,11811.0
2021-07-01,2021,7,Україна,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,24223.0
2021-07-01,2021,7,Україна,Сільське господарство та надання пов'язаних із ними послуг,11005.0
2021-07-01,2021,7,Україна,Виробництво коксу та продуктів нафтоперероблення,18123.0
2021-07-01,2021,7,Україна,"Сільське господарство, лісове господарство та рибне господарство",11317.0
2021-07-01,2021,7,Україна,Виробництво хімічних речовин і хімічної продукції,13454.0
2021-07-01,2021,7,Україна,"Функціювання бібліотек, архівів, музеїв та інших закладів культури",9995.0
2021-07-01,2021,7,Україна,Водний транспорт,14127.0
2021-07-01,2021,7,Україна,"Виробництво комп'ютерів, електронної та оптичної продукції",14355.0
2021-07-01,2021,7,Україна,Поштова та кур'єрська діяльність,7919.0
2021-07-01,2021,7,Україна,Наукові дослідження та розробки,14359.0
2021-07-01,2021,7,Україна,Охорона здоров'я,11700.0
