"Показник","Територіальний розріз","Вид економічної діяльності","Категорія розрізу","Розріз","Періодичність","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08","2025-M09","2025-M10","2025-M11","2025-M12","2026-M01","2026-M02","2026-M03","2026-M04","2026-M05","2026-M06"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Запорізька","Усього","Стать","Усього","Місячна","12542","12482","12897","12971","13072","13209","13336","13412","13482","13482","13507","13782","","","","","","","","","","","","","13946","13957","14445","","","","","","","","","","16673","16729","16903","17464","17769","18025","18206","18311","18434","18739","18897","19257","22288","21939","22158","23392","23629","23771","23902","23995","24059","24171","24244","24599","24720","24750","25254","25833","26092","26534"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Донецька","Усього","Стать","Усього","Місячна","13786","13505","14306","14202","14253","14374","14502","14545","14611","14629","14645","14853","","","","","","","","","","","","","13158","13450","13899","","","","","","","","","","18861","19135","19458","19895","20217","20500","20727","20969","21142","21291","21424","21801","21607","21478","21503","21824","21943","22232","22520","22707","22919","23030","23103","23581","25096","25911","26534","26854","27206","27857"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Діяльність у сфері адміністративного та допоміжного обслуговування","Стать","Усього","Місячна","10304","10359","10565","10593","10619","10689","10774","10845","10895","10946","10991","11186","","","","","","","","","","","","","13123","13055","13438","","","","","","","","","","15565","15561","15925","16216","16378","16519","16709","16816","16928","17078","17194","17536","18371","18253","18650","18863","18992","19114","19288","19386","19507","19628","19715","20012","22564","22324","22941","23366","23613","23850"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Освіта","Стать","Усього","Місячна","10310","10672","10770","10793","10951","11483","11541","11409","11512","11514","11532","11817","","","","","","","","","","","","","10603","10847","11038","","","","","","","","","","12235","12477","12664","12870","13134","13835","13872","13759","13959","14049","14165","14584","13822","14094","14316","14478","14703","15385","15474","15348","15518","15664","15751","16110","17931","18379","18716","19059","19481","20480"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Київська","Усього","Стать","Усього","Місячна","12645","12696","12946","13189","13322","13550","13693","13760","13862","13932","14007","14290","","","","","","","","","","","","","14470","14919","15282","","","","","","","","","","18302","18288","18759","19264","19580","19916","20222","20328","20685","20915","21073","21597","22932","22948","23301","23786","24034","24429","24654","24816","25033","25243","25410","25897","28598","28837","29227","29566","30127","30756"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Операції з нерухомим майном","Стать","Усього","Місячна","9683","10030","10138","10320","10483","10603","10730","10811","10872","10904","10938","11142","","","","","","","","","","","","","13578","13529","13754","","","","","","","","","","17003","17463","17646","18087","18366","18444","18636","18754","19103","19195","19333","19667","20633","20515","20931","21224","21963","22304","22400","22481","22538","22645","22729","23113","24509","24977","25202","25824","25810","26130"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Усього","Стать","Усього","Місячна","12337","12443","12835","13013","13110","13310","13458","13525","13604","13648","13705","14014","","","","","","","","","","","","","14742","15017","15436","","","","","","","","","","18316","18539","18935","19378","19654","19965","20226","20371","20628","20821","21016","21522","22992","23062","23629","24011","24260","24572","24844","24976","25157","25331","25496","25946","27975","28148","28885","29297","29632","30161"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Професійна, наукова та технічна діяльність","Стать","Усього","Місячна","16602","17083","17649","18711","18518","18606","18691","18750","18834","18856","18879","19369","","","","","","","","","","","","","20211","20175","21177","","","","","","","","","","24139","24835","25976","26532","26711","27015","27167","27415","27912","28058","28215","28974","28823","29231","30488","31660","31694","31982","32276","32476","32771","32964","33077","33816","34522","35605","37162","37962","38029","38500"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Надання інших видів послуг","Стать","Усього","Місячна","11657","11652","12219","12269","12285","12581","13006","13012","13020","13028","13050","13279","","","","","","","","","","","","","16344","16238","16967","","","","","","","","","","21665","22365","22750","22936","24027","24095","24184","24275","24369","24466","24654","25433","27031","26803","27480","28028","28011","28097","28243","28339","28475","28701","28841","29481","30472","31103","33014","33762","34229","34657"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Мистецтво, спорт, розваги та відпочинок","Стать","Усього","Місячна","10437","11171","11362","11284","11440","11743","11942","12010","12144","12177","12238","12508","","","","","","","","","","","","","11109","11806","12128","","","","","","","","","","12853","13207","13678","13887","14075","14397","14629","14728","15189","15372","15530","15889","15660","15809","16114","16371","16634","16920","17094","17267","17493","17606","17751","18020","17828","18253","18645","18959","19527","20090"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Охорона здоров'я та надання соціальної допомоги","Стать","Усього","Місячна","10573","10766","11254","11374","11404","11517","11469","11398","11309","11294","11329","11616","","","","","","","","","","","","","13126","13232","13489","","","","","","","","","","14466","14848","15216","15501","15749","15997","16344","16437","16500","16556","16595","16859","16460","16757","17116","17371","17573","17791","18112","18181","18202","18248","18320","18587","19101","19504","19929","20163","20440","20744"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Івано-Франківська","Усього","Стать","Усього","Місячна","10558","10666","10943","11184","11283","11551","11703","11712","11785","11797","11807","11988","","","","","","","","","","","","","12183","12292","12604","","","","","","","","","","14577","14776","14988","15304","15560","16003","16209","16319","16502","16627","16739","17069","18049","17994","18256","18613","18866","19288","19570","19645","19799","19911","19998","20271","22190","22113","22578","22869","23144","23736"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Україна","Державне управління й оборона; обов'язкове соціальне страхування","Стать","Усього","Місячна","15231","15579","15889","16197","16542","17095","17615","18055","18141","18184","18340","19048","","","","","","","","","","","","","18186","18605","19021","","","","","","","","","","22311","22887","23424","24003","24717","25370","26029","26698","26934","27281","27610","29123","27396","27793","28225","28776","29276","29854","30426","31009","31215","31474","31728","33173","31372","32135","32974","33618","34214","35069"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Львівська","Усього","Стать","Усього","Місячна","11038","11089","11376","11548","11652","11862","12014","12103","12205","12239","12285","12530","","","","","","","","","","","","","14147","14047","14358","","","","","","","","","","16849","16800","17102","17487","17737","18038","18308","18445","18681","18863","19017","19410","21146","20988","21420","21762","22019","22347","22608","22710","22891","23064","23166","23500","26243","26102","26661","27002","27334","28261"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Київ","Усього","Стать","Усього","Місячна","17533","18019","18722","19145","19174","19387","19612","19705","19811","19878","19994","20558","","","","","","","","","","","","","22206","23098","23890","","","","","","","","","","27782","28788","29681","30287","30501","30756","31076","31240","31604","31796","32031","32799","34978","35518","36751","37399","37607","37843","38226","38388","38578","38793","38960","39750","43865","44760","46307","46753","46829","47100"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Одеська","Усього","Стать","Усього","Місячна","10995","11114","11370","11434","11547","11764","11886","11945","11979","12006","12050","12326","","","","","","","","","","","","","12528","12594","12938","","","","","","","","","","15044","15322","15557","15867","16176","16540","16778","16915","17080","17254","17450","18025","18855","19000","19198","19394","19550","19841","20064","20188","20302","20432","20564","21058","22369","22703","23053","23364","23635","24031"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Харківська","Усього","Стать","Усього","Місячна","10364","10579","10826","11063","11186","11371","11514","11583","11698","11741","11799","12051","","","","","","","","","","","","","12263","12372","12683","","","","","","","","","","15622","15805","16020","16280","16565","16873","17149","17303","17571","17769","17952","18446","19108","19176","19538","19766","19980","20305","20539","20670","20900","21054","21188","21591","22813","22949","23370","23691","23985","24426"
"Середньомісячна заробітна плата (номінальна) штатного працівника","Полтавська","Усього","Стать","Усього","Місячна","11353","11446","11768","11971","12093","12259","12412","12492","12581","12662","12719","12988","","","","","","","","","","","","","13562","13387","13829","","","","","","","","","","16172","16413","16858","17151","17366","17638","17877","18031","18328","18502","18669","19054","19962","20051","20680","20825","20995","21258","21503","21629","21921","22071","22158","22469","23749","23532","24112","24326","24615","25023"
